Date,Image,Temperature,Velocity,Time
7-Jun,fair,72,299740,pm
7-Jun,fair,72,299900,pm
7-Jun,fair,72,300070,pm
7-Jun,fair,72,299930,pm
7-Jun,fair,72,299850,pm
9-Jun,good,83,299950,pm
9-Jun,good,83,299980,pm
9-Jun,good,83,299980,pm
9-Jun,good,83,299880,pm
9-Jun,fair,83,300000,pm
10-Jun,fair,90,299980,pm
10-Jun,fair,90,299930,pm
12-Jun,fair,71,299650,am
12-Jun,fair,71,299760,am
12-Jun,poor,71,299810,am
13-Jun,good,72,300000,am
13-Jun,good,72,300000,am
13-Jun,fair,72,299960,am
13-Jun,good,79,299960,pm
13-Jun,good,79,299960,pm
13-Jun,good,79,299940,pm
13-Jun,good,79,299960,pm
13-Jun,good,79,299940,pm
13-Jun,good,79,299880,pm
13-Jun,good,79,299800,pm
14-Jun,poor,64,299850,am
14-Jun,poor,64,299880,am
14-Jun,poor,65,299900,am
14-Jun,poor,66,299840,am
14-Jun,poor,67,299830,am
14-Jun,poor,84,299790,pm
14-Jun,poor,85,299810,pm
14-Jun,poor,84,299880,pm
14-Jun,poor,84,299880,pm
14-Jun,poor,84,299830,pm
17-Jun,fair,62,299800,am
17-Jun,fair,63,299790,am
17-Jun,poor,64,299760,am
17-Jun,good,77,299800,pm
17-Jun,good,77,299880,pm
17-Jun,good,77,299880,pm
17-Jun,good,77,299880,pm
17-Jun,good,77,299860,pm
18-Jun,poor,58,299720,am
18-Jun,poor,58,299720,am
18-Jun,poor,59,299620,am
18-Jun,fair,75,299860,pm
18-Jun,fair,75,299979,pm
18-Jun,fair,75,299950,pm
20-Jun,good,60,299880,am
20-Jun,good,61,299910,am
20-Jun,fair,62,299850,am
20-Jun,fair,63,299879,am
20-Jun,fair,78,299640,pm
20-Jun,fair,79,299840,pm
20-Jun,fair,80,299850,pm
20-Jun,fair,79,299840,pm
20-Jun,fair,79,299840,pm
20-Jun,fair,79,299840,pm
21-Jun,fair,61,299890,am
21-Jun,fair,62,299810,am
21-Jun,fair,63,299810,am
21-Jun,fair,64,299820,am
21-Jun,fair,65,299800,am
21-Jun,good,80,299770,pm
21-Jun,good,81,299760,pm
21-Jun,good,82,299740,pm
21-Jun,good,82,299750,pm
21-Jun,good,81,299760,pm
23-Jun,good,89,299910,pm
23-Jun,good,89,299920,pm
23-Jun,good,90,299890,pm
23-Jun,good,90,299860,pm
23-Jun,good,90,299880,pm
24-Jun,good,72,299720,am
24-Jun,good,73,299840,am
24-Jun,good,74,299850,am
24-Jun,good,75,299850,am
24-Jun,good,76,299780,am
26-Jun,fair,86,299890,pm
26-Jun,fair,86,299840,pm
27-Jun,good,73,299780,am
27-Jun,good,74,299810,am
27-Jun,good,75,299760,am
27-Jun,good,75,299810,am
27-Jun,good,76,299790,am
27-Jun,good,76,299810,am
30-Jun,fair,85,299820,pm
30-Jun,fair,86,299850,pm
30-Jun,fair,86,299870,pm
30-Jun,fair,86,299870,pm
1-Jul,fair,83,299810,pm
1-Jul,fair,84,299740,pm
1-Jul,fair,86,299810,pm
1-Jul,fair,86,299940,pm
2-Jul,good,86,299950,pm
2-Jul,good,86,299800,pm
2-Jul,good,86,299810,pm
2-Jul,good,85,299870,pm
